Coefficient,Nodes,Trial,Epsilon,Seed,GroundTruth_MIS,Greedy_MIS,Size_S,Oracle_MIS,Improvement
8,65000,0,0.025,0,32500,31900,65000,31900,0
1,65000,0,0.025,0,32636,32636,64999,32636,0
8,65000,0,0.05,0,32500,31900,65000,31900,0
8,65000,0,0.075,0,32500,31900,64999,31899,-1
1,65000,0,0.05,0,32636,32636,64997,32636,0
8,65000,0,0.1,0,32500,31900,64973,31875,-25
1,65000,0,0.075,0,32636,32636,64978,32636,0
8,65000,0,0.125,0,32500,31900,64585,30834,-1066
8,65000,0,0.15,0,32500,31900,61881,32377,477
1,65000,0,0.1,0,32636,32636,64872,32634,-2
8,65000,0,0.175,0,32500,31900,53627,32500,600
1,65000,0,0.125,0,32636,32636,64604,32627,-9
8,65000,0,0.2,0,32500,31900,42303,32500,600
8,65000,0,0.225,0,32500,31900,35402,32500,600
1,65000,0,0.15,0,32636,32636,64050,32624,-12
8,65000,0,0.25,0,32500,31900,32994,32499,599
8,65000,1,0.025,42,32500,31835,65000,31835,0
1,65000,0,0.175,0,32636,32636,62333,32607,-29
8,65000,1,0.05,42,32500,31835,65000,31835,0
1,65000,0,0.2,0,32636,32636,60447,32582,-54
8,65000,1,0.075,42,32500,31835,65000,31835,0
8,65000,1,0.1,42,32500,31835,64988,31824,-11
1,65000,0,0.225,0,32636,32636,57388,32551,-85
8,65000,1,0.125,42,32500,31835,64586,31556,-279
1,65000,0,0.25,0,32636,32636,53307,32488,-148
8,65000,1,0.15,42,32500,31835,62077,32460,625
8,65000,1,0.175,42,32500,31835,53880,32500,665
1,65000,1,0.025,42,32635,32632,64999,32631,-1
8,65000,1,0.2,42,32500,31835,42684,32500,665
1,65000,1,0.05,42,32635,32632,64997,32630,-2
8,65000,1,0.225,42,32500,31835,35436,32499,664
8,65000,1,0.25,42,32500,31835,32939,32499,664
1,65000,1,0.075,42,32635,32632,64989,32622,-10
8,65000,2,0.025,84,32500,30731,65000,30731,0
1,65000,1,0.1,42,32635,32632,64908,32547,-85
8,65000,2,0.05,84,32500,30731,65000,30731,0
8,65000,2,0.075,84,32500,30731,64999,30730,-1
1,65000,1,0.125,42,32635,32632,64611,32262,-370
8,65000,2,0.1,84,32500,30731,64973,30682,-49
8,65000,2,0.125,84,32500,30731,64610,31536,805
1,65000,1,0.15,42,32635,32632,64066,31747,-885
8,65000,2,0.15,84,32500,30731,61734,32480,1749
1,65000,1,0.175,42,32635,32632,62321,30140,-2492
8,65000,2,0.175,84,32500,30731,53657,32500,1769
1,65000,1,0.2,42,32635,32632,60375,28411,-4221
8,65000,2,0.2,84,32500,30731,42531,32500,1769
8,65000,2,0.225,84,32500,30731,35372,32500,1769
1,65000,1,0.225,42,32635,32632,57136,26069,-6563
8,65000,2,0.25,84,32500,30731,32953,32500,1769
1,65000,1,0.25,42,32635,32632,52844,32488,-144
8,65000,3,0.025,126,32500,31910,65000,31910,0
8,65000,3,0.05,126,32500,31910,65000,31910,0
1,65000,2,0.025,84,32636,32632,65000,32632,0
8,65000,3,0.075,126,32500,31910,64999,31909,-1
1,65000,2,0.05,84,32636,32632,64995,32628,-4
8,65000,3,0.1,126,32500,31910,64977,31774,-136
8,65000,3,0.125,126,32500,31910,64612,31490,-420
1,65000,2,0.075,84,32636,32632,64973,32606,-26
8,65000,3,0.15,126,32500,31910,61927,32420,510
8,65000,3,0.175,126,32500,31910,53696,32500,590
1,65000,2,0.1,84,32636,32632,64877,32515,-117
8,65000,3,0.2,126,32500,31910,42655,32500,590
1,65000,2,0.125,84,32636,32632,64565,32226,-406
8,65000,3,0.225,126,32500,31910,35462,32500,590
8,65000,3,0.25,126,32500,31910,33022,32500,590
1,65000,2,0.15,84,32636,32632,63961,31659,-973
8,65000,4,0.025,168,32500,32093,65000,32093,0
1,65000,2,0.175,84,32636,32632,62165,29998,-2634
8,65000,4,0.05,168,32500,32093,65000,32093,0
8,65000,4,0.075,168,32500,32093,65000,32093,0
1,65000,2,0.2,84,32636,32632,60235,28322,-4310
8,65000,4,0.1,168,32500,32093,64982,32076,-17
1,65000,2,0.225,84,32636,32632,57100,26040,-6592
8,65000,4,0.125,168,32500,32093,64550,32118,25
1,65000,2,0.25,84,32636,32632,52815,32503,-129
8,65000,4,0.15,168,32500,32093,61649,32480,387
8,65000,4,0.175,168,32500,32093,53219,32500,407
1,65000,3,0.025,126,32639,32639,65000,32639,0
8,65000,4,0.2,168,32500,32093,42511,32500,407
1,65000,3,0.05,126,32639,32639,65000,32639,0
8,65000,4,0.225,168,32500,32093,35391,32500,407
8,65000,4,0.25,168,32500,32093,32950,32500,407
1,65000,3,0.075,126,32639,32639,64981,32639,0
8,65000,5,0.025,210,32500,31874,65000,31874,0
8,65000,5,0.05,210,32500,31874,65000,31874,0
1,65000,3,0.1,126,32639,32639,64897,32636,-3
8,65000,5,0.075,210,32500,31874,65000,31874,0
1,65000,3,0.125,126,32639,32639,64745,32634,-5
8,65000,5,0.1,210,32500,31874,64982,31857,-17
8,65000,5,0.125,210,32500,31874,64664,31370,-504
1,65000,3,0.15,126,32639,32639,64068,32628,-11
8,65000,5,0.15,210,32500,31874,62089,32437,563
1,65000,3,0.175,126,32639,32639,62306,32610,-29
8,65000,5,0.175,210,32500,31874,54008,32500,626
8,65000,5,0.2,210,32500,31874,42765,32500,626
1,65000,3,0.2,126,32639,32639,60580,32597,-42
8,65000,5,0.225,210,32500,31874,35398,32500,626
1,65000,3,0.225,126,32639,32639,57324,32534,-105
8,65000,5,0.25,210,32500,31874,33002,32499,625
8,65000,6,0.025,252,32500,31933,65000,31933,0
1,65000,3,0.25,126,32639,32639,53045,32473,-166
8,65000,6,0.05,252,32500,31933,65000,31933,0
1,65000,4,0.025,168,32651,32651,65000,32651,0
8,65000,6,0.075,252,32500,31933,65000,31933,0
8,65000,6,0.1,252,32500,31933,64977,31887,-46
1,65000,4,0.05,168,32651,32651,64995,32651,0
8,65000,6,0.125,252,32500,31933,64524,31457,-476
8,65000,6,0.15,252,32500,31933,61524,32420,487
1,65000,4,0.075,168,32651,32651,64977,32651,0
8,65000,6,0.175,252,32500,31933,53233,32500,567
