graph_name,vanilla_greedy_mis_size,augmented_greedy_mis_size
graph_0.edgelist,7,7
graph_1.edgelist,6,6
graph_10.edgelist,5,5
graph_100.edgelist,4,4
graph_1000.edgelist,2,2
graph_1001.edgelist,2,2
graph_1002.edgelist,3,3
graph_1003.edgelist,2,2
graph_1004.edgelist,3,3
graph_1005.edgelist,3,3
graph_1006.edgelist,3,3
graph_1007.edgelist,2,2
graph_1008.edgelist,3,3
graph_1009.edgelist,2,2
graph_101.edgelist,4,4
graph_1010.edgelist,2,2
graph_1011.edgelist,2,2
graph_1012.edgelist,2,2
graph_1013.edgelist,2,2
graph_1014.edgelist,2,2
graph_1015.edgelist,3,3
graph_1016.edgelist,3,3
graph_1017.edgelist,2,2
graph_1018.edgelist,2,2
graph_1019.edgelist,2,2
graph_102.edgelist,4,4
graph_1020.edgelist,2,2
graph_1021.edgelist,2,2
graph_1022.edgelist,2,2
graph_1023.edgelist,2,2
graph_1024.edgelist,3,3
graph_1025.edgelist,3,3
graph_1026.edgelist,2,2
graph_1027.edgelist,2,2
graph_1028.edgelist,2,2
graph_1029.edgelist,2,2
graph_103.edgelist,5,5
graph_1030.edgelist,3,3
graph_1031.edgelist,2,2
graph_1032.edgelist,2,2
graph_1033.edgelist,2,2
graph_1034.edgelist,2,2
graph_1035.edgelist,3,3
graph_1036.edgelist,2,2
graph_1037.edgelist,2,2
graph_1038.edgelist,2,2
graph_1039.edgelist,2,2
graph_104.edgelist,5,5
graph_1040.edgelist,2,2
graph_1041.edgelist,2,2
graph_1042.edgelist,2,2
graph_1043.edgelist,1,1
graph_105.edgelist,4,4
graph_106.edgelist,3,3
graph_107.edgelist,3,3
graph_108.edgelist,4,4
graph_109.edgelist,4,4
graph_11.edgelist,5,5
graph_110.edgelist,4,4
graph_111.edgelist,4,4
graph_112.edgelist,3,3
graph_113.edgelist,4,4
graph_114.edgelist,4,4
graph_115.edgelist,4,4
graph_116.edgelist,4,4
graph_117.edgelist,4,4
graph_118.edgelist,4,4
graph_119.edgelist,3,3
graph_12.edgelist,5,5
graph_120.edgelist,4,4
graph_121.edgelist,4,4
graph_122.edgelist,4,4
graph_123.edgelist,4,4
graph_124.edgelist,3,3
graph_125.edgelist,3,3
graph_126.edgelist,4,4
graph_127.edgelist,3,3
graph_128.edgelist,4,4
graph_129.edgelist,4,4
graph_13.edgelist,4,4
graph_130.edgelist,4,4
graph_131.edgelist,4,4
graph_132.edgelist,4,4
graph_133.edgelist,4,4
graph_134.edgelist,4,4
graph_135.edgelist,4,4
graph_136.edgelist,3,3
graph_137.edgelist,4,4
graph_138.edgelist,4,4
graph_139.edgelist,3,3
graph_14.edgelist,5,5
graph_140.edgelist,3,3
graph_141.edgelist,4,4
graph_142.edgelist,3,3
graph_143.edgelist,4,4
graph_144.edgelist,3,3
graph_145.edgelist,3,3
graph_146.edgelist,5,5
graph_147.edgelist,4,4
graph_148.edgelist,5,5
graph_149.edgelist,5,5
graph_15.edgelist,5,5
graph_150.edgelist,4,4
graph_151.edgelist,4,4
