file_path,true_MIS_size,greedy_MIS_size,augmented_greedy_MIS_size
file_path,unknown,11,11
file_path,unknown,5,5
file_path,unknown,10,10
file_path,unknown,3,3
file_path,unknown,9,9
file_path,unknown,10,10
file_path,unknown,4,4
file_path,unknown,14,13
file_path,unknown,3,3
file_path,unknown,14,14
file_path,unknown,6,6
file_path,unknown,4,4
file_path,unknown,5,4
file_path,unknown,7,7
file_path,unknown,6,5
file_path,unknown,7,7
file_path,unknown,4,4
file_path,unknown,4,3
file_path,unknown,8,8
file_path,unknown,5,5
file_path,unknown,4,4
file_path,unknown,3,3
file_path,unknown,14,11
file_path,unknown,3,3
file_path,unknown,4,3
file_path,unknown,4,4
file_path,unknown,4,4
file_path,unknown,5,5
file_path,unknown,3,3
file_path,unknown,3,3
file_path,unknown,4,3
file_path,unknown,10,9
file_path,unknown,13,12
file_path,unknown,4,4
file_path,unknown,4,3
file_path,unknown,4,4
file_path,unknown,12,11
file_path,unknown,4,4
file_path,unknown,9,9
file_path,unknown,5,4
file_path,unknown,11,9
file_path,unknown,3,3
file_path,unknown,6,6
file_path,unknown,4,3
file_path,unknown,7,7
file_path,unknown,6,6
file_path,unknown,5,5
file_path,unknown,3,3
file_path,unknown,15,15
file_path,unknown,6,6
file_path,unknown,3,3
file_path,unknown,16,15
file_path,unknown,9,9
file_path,unknown,4,4
file_path,unknown,7,6
file_path,unknown,5,5
file_path,unknown,5,5
file_path,unknown,4,4
file_path,unknown,3,3
file_path,unknown,4,4
file_path,unknown,6,6
file_path,unknown,7,7
file_path,unknown,4,4
file_path,unknown,5,4
file_path,unknown,3,3
file_path,unknown,4,4
file_path,unknown,7,6
file_path,unknown,5,5
file_path,unknown,8,9
file_path,unknown,6,6
file_path,unknown,4,4
file_path,unknown,4,3
file_path,unknown,7,7
file_path,unknown,10,10
file_path,unknown,5,5
file_path,unknown,5,5
file_path,unknown,4,3
file_path,unknown,7,7
file_path,unknown,5,5
file_path,unknown,5,5
file_path,unknown,12,12
file_path,unknown,8,7
file_path,unknown,11,12
file_path,unknown,5,6
file_path,unknown,3,3
file_path,unknown,4,4
file_path,unknown,9,8
file_path,unknown,4,5
file_path,unknown,4,4
file_path,unknown,5,5
file_path,unknown,4,4
file_path,unknown,6,6
file_path,unknown,5,5
file_path,unknown,5,6
file_path,unknown,11,11
file_path,unknown,8,9
file_path,unknown,5,4
file_path,unknown,8,7
file_path,unknown,7,6
file_path,unknown,9,8
file_path,unknown,6,5
file_path,unknown,5,4
file_path,unknown,3,3
file_path,unknown,6,6
file_path,unknown,5,4
file_path,unknown,4,4
file_path,unknown,5,4
file_path,unknown,12,10
file_path,unknown,2,2
file_path,unknown,3,3
file_path,unknown,6,6
file_path,unknown,4,4
file_path,unknown,6,6
file_path,unknown,4,4
file_path,unknown,11,10
file_path,unknown,8,7
file_path,unknown,8,8
file_path,unknown,6,6
file_path,unknown,5,4
file_path,unknown,4,4
file_path,unknown,6,6
file_path,unknown,4,4
file_path,unknown,5,4
file_path,unknown,10,10
file_path,unknown,4,4
file_path,unknown,5,4
file_path,unknown,4,4
file_path,unknown,7,6
file_path,unknown,9,9
file_path,unknown,6,5
file_path,unknown,11,10
file_path,unknown,4,4
file_path,unknown,5,4
file_path,unknown,5,4
file_path,unknown,8,7
file_path,unknown,3,3
file_path,unknown,6,7
file_path,unknown,13,11
file_path,unknown,14,12
file_path,unknown,15,15
file_path,unknown,7,7
file_path,unknown,3,3
file_path,unknown,8,8
file_path,unknown,4,4
file_path,unknown,10,10
file_path,unknown,10,10
file_path,unknown,4,4
file_path,unknown,4,4
file_path,unknown,5,6
file_path,unknown,7,6
file_path,unknown,4,4
file_path,unknown,5,5
file_path,unknown,10,9
file_path,unknown,11,11
file_path,unknown,4,4
file_path,unknown,6,6
file_path,unknown,4,4
file_path,unknown,12,12
file_path,unknown,6,6
file_path,unknown,9,8
file_path,unknown,5,5
file_path,unknown,16,16
file_path,unknown,7,7
file_path,unknown,5,4
file_path,unknown,6,6
file_path,unknown,4,3
file_path,unknown,9,8
file_path,unknown,5,5
file_path,unknown,14,14
file_path,unknown,5,6
file_path,unknown,3,4
file_path,unknown,13,13
file_path,unknown,7,7
file_path,unknown,4,4
file_path,unknown,4,3
file_path,unknown,6,6
file_path,unknown,5,5
file_path,unknown,4,5
file_path,unknown,5,5
file_path,unknown,5,5
file_path,unknown,13,13
file_path,unknown,6,6
file_path,unknown,5,5
file_path,unknown,6,5
file_path,unknown,15,14
file_path,unknown,3,3
file_path,unknown,12,10
file_path,unknown,4,4
file_path,unknown,6,5
file_path,unknown,14,15
file_path,unknown,3,3
file_path,unknown,6,6
file_path,unknown,3,3
file_path,unknown,4,3
file_path,unknown,4,4
file_path,unknown,6,6
file_path,unknown,4,4
file_path,unknown,11,10
file_path,unknown,3,3
file_path,unknown,6,5
file_path,unknown,3,3
file_path,unknown,7,6
file_path,unknown,5,5
file_path,unknown,4,4
file_path,unknown,7,7
file_path,unknown,9,8
file_path,unknown,3,3
file_path,unknown,4,4
file_path,unknown,7,7
file_path,unknown,9,8
file_path,unknown,6,5
file_path,unknown,9,8
file_path,unknown,5,4
file_path,unknown,5,5
file_path,unknown,7,6
file_path,unknown,6,5
file_path,unknown,3,3
file_path,unknown,4,4
file_path,unknown,8,7
file_path,unknown,5,5
file_path,unknown,4,4
file_path,unknown,3,3
file_path,unknown,14,14
file_path,unknown,4,3
file_path,unknown,8,8
file_path,unknown,6,6
file_path,unknown,6,5
file_path,unknown,4,4
file_path,unknown,6,6
file_path,unknown,4,4
file_path,unknown,19,19
file_path,unknown,5,5
file_path,unknown,14,13
file_path,unknown,2,2
file_path,unknown,7,7
file_path,unknown,3,2
file_path,unknown,8,7
file_path,unknown,6,7
file_path,unknown,14,13
file_path,unknown,6,6
file_path,unknown,5,5
file_path,unknown,4,4
file_path,unknown,11,10
file_path,unknown,11,11
file_path,unknown,5,4
file_path,unknown,8,7
file_path,unknown,2,3
file_path,unknown,8,8
file_path,unknown,9,7
file_path,unknown,3,3
file_path,unknown,2,2
file_path,unknown,7,7
file_path,unknown,10,10
file_path,unknown,6,5
file_path,unknown,8,8
file_path,unknown,3,3
file_path,unknown,5,5
file_path,unknown,9,8
file_path,unknown,6,7
file_path,unknown,6,6
file_path,unknown,6,4
file_path,unknown,3,3
file_path,unknown,5,4
file_path,unknown,6,5
file_path,unknown,4,4
file_path,unknown,5,5
file_path,unknown,4,4
file_path,unknown,3,3
file_path,unknown,10,9
file_path,unknown,7,7
file_path,unknown,4,4
file_path,unknown,8,7
file_path,unknown,7,7
file_path,unknown,3,3
file_path,unknown,5,4
file_path,unknown,8,8
file_path,unknown,8,7
file_path,unknown,10,8
file_path,unknown,3,2
file_path,unknown,6,6
file_path,unknown,4,4
file_path,unknown,16,16
file_path,unknown,5,5
file_path,unknown,2,2
file_path,unknown,8,7
file_path,unknown,4,4
file_path,unknown,12,11
file_path,unknown,10,9
file_path,unknown,6,5
file_path,unknown,8,7
file_path,unknown,5,4
file_path,unknown,4,4
file_path,unknown,12,11
file_path,unknown,5,4
file_path,unknown,5,4
file_path,unknown,4,4
file_path,unknown,2,2
file_path,unknown,8,7
file_path,unknown,4,4
