num_nodes,bipartite_value,graph_id,file_graph_id,true_mis,mis_min_degree,mis_random,mis_prob,mis_low_neighbor_prob,mis_prob_model,mis_low_neighbor_prob_model
100,5,0,1,90,90,89.4,90,90,90,90
100,5,1,10,90,90,90.0,90,90,90,90
100,5,2,100,90,90,89.2,90,90,90,90
100,5,3,11,90,90,90.0,90,90,90,90
100,5,4,12,87,87,86.2,87,87,87,87
100,5,5,13,89,89,88.4,89,89,89,89
100,5,6,14,90,90,89.4,90,90,90,90
100,5,7,15,91,91,90.2,91,91,91,91
100,5,8,16,89,89,88.8,89,89,89,89
100,5,9,17,88,88,87.6,88,88,88,88
100,5,10,18,90,90,90.0,90,90,90,90
100,5,11,19,89,89,88.0,89,89,89,89
100,5,12,2,93,93,93.0,93,93,93,93
100,5,13,20,88,88,87.4,88,88,88,88
100,5,14,21,89,89,89.0,89,89,89,89
100,5,15,22,87,87,87.0,87,87,87,87
100,5,16,23,90,90,89.4,90,90,90,90
100,5,17,24,88,88,87.4,88,88,88,88
100,5,18,25,93,93,92.8,93,93,93,93
100,5,19,26,95,95,95.0,95,95,95,95
100,5,20,27,90,90,89.6,90,90,90,90
100,5,21,28,88,88,88.0,88,88,88,88
100,5,22,29,93,93,92.8,93,93,93,93
100,5,23,3,89,89,88.2,89,89,89,89
100,5,24,30,93,93,93.0,93,93,93,93
100,5,25,31,89,89,89.0,89,89,89,89
100,5,26,32,90,90,89.0,90,90,90,90
100,5,27,33,88,88,87.0,88,88,88,88
100,5,28,34,89,89,89.0,89,89,89,89
100,5,29,35,87,87,86.6,87,87,87,87
100,5,30,36,92,92,91.8,92,92,92,92
100,5,31,37,91,91,89.6,91,91,91,91
100,5,32,38,91,91,90.2,91,91,91,91
100,5,33,39,88,88,87.0,88,88,88,88
100,5,34,4,87,87,85.6,87,87,87,87
100,5,35,40,92,92,91.8,92,92,92,92
100,5,36,41,88,88,87.2,88,88,88,88
100,5,37,42,88,88,87.8,88,88,88,88
100,5,38,43,88,88,87.0,88,88,88,88
100,5,39,44,89,89,88.6,89,89,89,89
100,5,40,45,89,89,88.4,89,89,89,89
100,5,41,46,91,91,90.0,91,91,91,91
100,5,42,47,89,89,88.0,89,89,89,89
100,5,43,48,93,93,92.0,93,93,93,93
100,5,44,49,92,92,91.4,92,92,92,92
100,5,45,5,89,89,88.4,89,89,89,89
100,5,46,50,88,88,87.6,88,88,88,88
100,5,47,51,90,90,90.0,90,90,90,90
100,5,48,52,89,89,89.0,89,89,89,89
100,5,49,53,93,93,91.6,93,93,93,93
100,5,50,54,85,85,84.6,85,85,85,85
100,5,51,55,87,87,85.6,87,87,87,87
100,5,52,56,89,89,89.0,89,89,89,89
100,5,53,57,88,88,87.2,88,88,88,88
100,5,54,58,90,90,88.6,90,90,90,90
100,5,55,59,90,90,89.2,90,90,90,90
100,5,56,6,94,94,93.2,94,94,94,94
100,5,57,60,91,91,91.0,91,91,91,91
100,5,58,61,88,88,87.0,88,88,88,88
100,5,59,62,90,90,89.0,90,90,90,90
100,5,60,63,91,91,89.6,91,91,91,91
100,5,61,64,90,90,89.2,90,90,90,90
100,5,62,65,89,89,89.0,89,89,89,89
100,5,63,66,90,90,88.6,90,90,90,90
100,5,64,67,93,93,92.2,93,93,93,93
100,5,65,68,89,89,88.4,89,89,89,89
100,5,66,69,95,95,95.0,95,95,95,95
100,5,67,7,92,92,91.6,92,92,92,92
