num_nodes,removal_percent,graph_id,file_graph_id,true_mis,mis_min_degree,mis_random,mis_prob,mis_low_neighbor_prob,mis_prob_model,mis_low_neighbor_prob_model
10,15,0,1,2,2,1.8,2,2,2,2
10,15,1,10,2,2,2.0,2,2,2,2
10,15,2,11,2,2,2.0,2,2,2,2
10,15,3,12,2,2,2.0,2,2,2,2
10,15,4,13,2,2,1.8,2,2,2,2
10,15,5,14,3,2,2.6,3,3,3,3
10,15,6,15,2,2,2.0,2,2,2,2
10,15,7,16,3,3,2.2,3,3,3,3
10,15,8,17,2,2,1.8,2,2,2,2
10,15,9,18,2,2,1.8,2,2,2,2
10,15,10,19,2,2,2.0,2,2,2,2
10,15,11,2,2,2,2.0,2,2,2,2
10,15,12,20,3,3,1.2,3,3,3,3
10,15,13,21,2,2,1.6,2,2,2,2
10,15,14,22,2,2,2.0,2,2,2,2
10,15,15,23,2,2,1.6,2,2,2,2
10,15,16,24,2,2,1.8,2,2,2,2
10,15,17,25,2,2,2.0,2,2,2,2
10,15,18,26,2,2,1.6,2,2,2,2
10,15,19,27,3,3,1.8,3,3,3,3
10,15,20,28,2,2,1.6,2,2,2,2
10,15,21,29,2,2,1.6,2,2,2,2
10,15,22,3,2,2,1.6,2,2,2,2
10,15,23,30,3,3,1.8,3,3,3,3
10,15,24,4,2,2,1.8,2,2,2,2
10,15,25,5,2,2,2.0,2,2,2,2
10,15,26,6,2,2,2.0,2,2,2,2
10,15,27,7,3,3,1.6,3,3,3,3
10,15,28,8,2,2,1.6,2,2,2,2
10,15,29,9,3,3,1.8,3,3,3,3
10,20,30,1,2,2,1.8,2,2,2,2
10,20,31,10,3,3,1.8,3,3,3,3
10,20,32,11,2,2,2.0,2,2,2,2
10,20,33,12,2,2,2.0,2,2,2,2
10,20,34,13,2,2,2.0,2,2,2,2
10,20,35,14,3,3,2.0,3,3,3,3
10,20,36,15,3,3,1.8,3,3,3,3
10,20,37,16,3,2,1.8,3,3,3,3
10,20,38,17,2,2,2.0,2,2,2,2
10,20,39,18,3,3,2.0,3,3,3,3
10,20,40,19,3,2,2.0,3,3,2,3
10,20,41,2,2,2,2.0,2,2,2,2
10,20,42,20,3,3,2.0,3,3,3,3
10,20,43,21,2,2,2.0,2,2,2,2
10,20,44,22,2,2,1.6,2,2,2,2
10,20,45,23,3,3,2.0,3,3,2,2
10,20,46,24,2,2,2.0,2,2,2,2
10,20,47,25,2,2,2.0,2,2,2,2
10,20,48,26,2,2,2.0,2,2,2,2
10,20,49,27,2,2,2.0,2,2,2,2
10,20,50,28,3,2,2.2,3,3,3,3
10,20,51,29,3,3,2.0,3,3,3,3
10,20,52,3,2,2,2.0,2,2,2,2
10,20,53,30,3,3,2.2,3,3,3,3
10,20,54,4,3,3,2.2,3,3,2,3
10,20,55,5,3,2,2.6,3,3,2,3
10,20,56,6,2,2,1.6,2,2,2,2
10,20,57,7,3,3,2.0,3,3,3,3
10,20,58,8,2,2,2.0,2,2,2,2
10,20,59,9,3,3,2.6,3,3,3,3
10,25,60,1,3,3,2.4,3,3,3,3
10,25,61,10,3,3,2.4,3,3,3,3
10,25,62,11,3,2,2.0,3,3,2,2
10,25,63,12,3,3,2.2,3,3,2,3
10,25,64,13,3,3,2.4,3,3,3,3
10,25,65,14,3,3,2.8,3,3,2,2
10,25,66,15,3,3,2.4,3,3,3,3
10,25,67,16,3,3,2.0,3,3,3,3
10,25,68,17,3,3,2.2,3,3,3,3
10,25,69,18,3,3,2.4,2,3,2,3
10,25,70,19,3,3,2.8,3,3,3,3
10,25,71,2,3,3,2.2,3,3,2,2
10,25,72,20,2,2,2.0,2,2,2,2
10,25,73,21,2,2,2.0,2,2,2,2
10,25,74,22,3,3,2.0,3,3,3,3
10,25,75,23,3,2,2.4,3,3,2,2
10,25,76,24,3,2,1.8,3,3,2,2
10,25,77,25,3,2,2.4,3,3,3,3
10,25,78,26,3,3,2.4,3,3,3,3
10,25,79,27,3,3,1.8,3,3,3,3
10,25,80,28,3,3,2.6,3,3,3,3
10,25,81,29,3,3,2.4,3,3,3,3
10,25,82,3,2,2,2.0,2,2,2,2
10,25,83,30,2,2,2.0,2,2,2,2
10,25,84,4,3,3,2.0,3,3,3,3
10,25,85,5,3,3,2.2,3,3,3,3
10,25,86,6,2,2,2.0,2,2,2,2
10,25,87,7,2,2,2.0,2,2,2,2
10,25,88,8,3,3,1.8,3,3,3,3
10,25,89,9,3,3,2.4,3,3,3,3
10,30,90,1,4,4,2.8,4,4,4,4
10,30,91,10,3,3,2.6,3,3,3,3
10,30,92,11,2,2,2.0,2,2,2,2
10,30,93,12,3,3,2.2,3,3,2,2
10,30,94,13,3,3,2.0,3,3,3,3
10,30,95,14,3,2,2.2,3,3,3,3
10,30,96,15,3,3,2.4,3,3,3,3
10,30,97,16,3,3,2.6,3,3,3,3
10,30,98,17,3,3,2.2,3,3,2,3
10,30,99,18,3,3,2.2,3,3,3,3
10,30,100,19,3,3,2.2,3,3,3,3
10,30,101,2,3,3,2.2,3,3,3,3
10,30,102,20,3,3,2.8,3,3,3,3
10,30,103,21,3,3,2.4,3,3,3,3
10,30,104,22,3,3,2.4,3,3,3,3
10,30,105,23,3,3,2.2,3,3,2,3
10,30,106,24,3,3,2.4,3,3,3,3
10,30,107,25,3,3,2.6,3,3,3,3
10,30,108,26,3,3,2.0,3,3,3,3
10,30,109,27,4,4,2.8,4,4,4,4
10,30,110,28,3,3,2.4,3,3,3,3
10,30,111,29,3,3,2.4,3,3,3,3
10,30,112,3,3,2,2.2,3,3,3,3
10,30,113,30,3,3,2.4,3,3,3,3
10,30,114,4,3,3,2.2,3,3,3,3
10,30,115,5,3,3,2.4,3,3,2,2
10,30,116,6,3,3,2.2,3,3,2,3
10,30,117,7,3,3,2.2,3,3,3,3
10,30,118,8,3,3,2.8,3,3,3,3
10,30,119,9,3,3,2.6,3,3,3,3
10,35,120,1,3,3,2.4,3,3,3,3
10,35,121,10,3,3,2.0,3,3,3,3
10,35,122,11,3,3,2.6,3,3,3,3
10,35,123,12,3,3,2.6,3,3,3,3
10,35,124,13,3,3,2.4,3,3,3,3
10,35,125,14,3,3,2.4,3,3,2,3
10,35,126,15,3,3,2.6,3,3,3,3
10,35,127,16,3,3,2.8,3,3,3,3
10,35,128,17,3,3,2.4,3,3,3,3
10,35,129,18,4,4,2.4,4,4,4,4
10,35,130,19,3,3,2.8,3,3,2,3
10,35,131,2,3,2,2.4,3,3,2,2
10,35,132,20,4,4,3.2,4,4,4,4
10,35,133,21,3,3,2.4,3,3,3,3
10,35,134,22,3,3,2.4,3,3,3,3
10,35,135,23,4,4,2.4,4,4,4,4
10,35,136,24,3,3,2.8,3,3,3,3
10,35,137,25,3,3,2.8,3,3,3,3
10,35,138,26,3,3,2.4,3,3,3,3
10,35,139,27,3,3,2.2,3,3,3,3
10,35,140,28,3,3,2.4,3,3,3,3
10,35,141,29,3,3,2.6,3,3,3,3
10,35,142,3,3,3,2.4,3,3,3,3
10,35,143,30,3,3,2.0,3,3,3,3
10,35,144,4,3,3,2.2,3,3,3,3
10,35,145,5,3,3,2.8,3,3,2,3
10,35,146,6,3,3,2.2,3,3,3,3
10,35,147,7,3,2,2.0,3,3,3,3
10,35,148,8,3,3,2.6,3,3,2,3
10,35,149,9,4,4,3.0,4,4,4,4
10,40,150,1,3,3,2.6,3,3,3,3
10,40,151,10,4,4,2.6,4,4,3,4
10,40,152,11,3,3,2.6,3,3,3,3
10,40,153,12,4,4,2.8,4,4,4,4
10,40,154,13,3,3,2.4,3,3,3,3
10,40,155,14,3,3,2.8,3,3,3,3
10,40,156,15,3,3,2.4,3,3,3,3
10,40,157,16,4,4,2.4,4,4,4,4
10,40,158,17,3,3,2.4,3,3,3,3
10,40,159,18,3,3,2.2,3,3,3,3
10,40,160,19,3,3,2.6,3,3,3,3
10,40,161,2,3,3,2.8,3,3,3,3
10,40,162,20,4,4,3.0,4,4,4,4
10,40,163,21,4,3,3.2,4,4,4,4
10,40,164,22,3,3,2.4,3,3,3,3
10,40,165,23,3,3,3.0,3,3,3,3
10,40,166,24,3,3,2.6,3,3,3,3
10,40,167,25,4,4,3.2,4,4,3,3
10,40,168,26,4,4,3.2,4,4,4,4
10,40,169,27,4,4,3.0,4,4,4,4
10,40,170,28,3,3,2.8,3,3,3,3
10,40,171,29,4,4,2.8,4,4,4,4
10,40,172,3,3,3,2.8,3,3,3,3
10,40,173,30,3,3,2.6,3,3,3,3
10,40,174,4,3,3,2.4,3,3,3,3
10,40,175,5,3,3,2.6,3,3,3,3
10,40,176,6,4,4,3.0,4,4,4,4
10,40,177,7,4,4,2.4,4,4,4,4
10,40,178,8,3,3,2.8,3,3,3,3
10,40,179,9,4,4,3.0,4,4,4,4
10,45,180,1,3,3,2.6,3,3,3,3
10,45,181,10,3,3,2.8,3,3,3,3
10,45,182,11,4,4,3.4,4,4,4,4
10,45,183,12,3,3,3.0,3,3,3,3
10,45,184,13,4,4,3.4,4,4,4,4
10,45,185,14,3,3,3.0,3,3,3,3
10,45,186,15,3,3,2.8,3,3,3,3
10,45,187,16,4,4,2.6,4,4,4,4
10,45,188,17,5,5,2.8,5,5,5,5
10,45,189,18,3,3,2.6,3,3,3,3
10,45,190,19,3,3,2.6,3,3,3,3
10,45,191,2,3,3,3.0,3,3,3,3
10,45,192,20,3,3,2.8,3,3,3,3
10,45,193,21,3,3,2.8,3,3,3,3
10,45,194,22,3,3,3.0,3,3,3,3
10,45,195,23,4,4,2.2,4,4,4,4
10,45,196,24,3,3,2.8,3,3,3,3
10,45,197,25,4,4,2.6,4,4,4,4
10,45,198,26,4,4,3.2,4,4,4,4
10,45,199,27,4,4,3.4,4,4,4,4
10,45,200,28,4,4,3.0,4,4,4,4
10,45,201,29,4,3,2.6,4,4,3,3
10,45,202,3,4,4,3.2,4,4,4,4
10,45,203,30,4,4,2.8,4,4,4,4
10,45,204,4,4,4,3.6,4,4,4,4
10,45,205,5,4,4,3.2,4,4,4,4
10,45,206,6,4,4,2.2,4,4,4,4
10,45,207,7,4,4,3.0,4,4,4,4
10,45,208,8,3,3,3.0,3,3,3,3
10,45,209,9,4,4,3.0,4,4,3,3
10,50,210,1,4,4,3.8,4,4,4,4
10,50,211,10,3,3,3.0,3,3,3,3
10,50,212,11,4,4,3.2,4,4,4,4
10,50,213,12,4,4,3.2,4,4,4,4
10,50,214,13,4,4,2.8,4,4,4,4
10,50,215,14,3,3,2.8,3,3,3,3
10,50,216,15,3,3,2.8,3,3,3,3
10,50,217,16,4,4,3.4,4,4,4,4
10,50,218,17,4,4,3.4,4,4,4,4
10,50,219,18,4,4,4.0,4,4,4,4
10,50,220,19,4,4,3.0,4,4,4,4
10,50,221,2,4,4,3.6,4,4,4,4
10,50,222,20,4,4,3.0,4,4,4,4
10,50,223,21,4,4,3.2,4,4,4,4
10,50,224,22,4,4,3.2,4,4,4,4
10,50,225,23,4,4,3.8,4,4,4,4
10,50,226,24,3,3,3.0,3,3,3,3
10,50,227,25,4,4,3.0,4,4,4,4
10,50,228,26,3,3,3.0,3,3,3,3
10,50,229,27,5,5,3.4,5,5,5,5
10,50,230,28,4,4,3.0,4,4,4,4
10,50,231,29,4,4,2.6,4,4,4,4
10,50,232,3,3,3,3.0,3,3,3,3
10,50,233,30,4,4,3.2,4,4,4,4
10,50,234,4,3,3,2.8,3,3,3,3
10,50,235,5,4,4,3.2,4,4,4,4
10,50,236,6,4,4,3.4,4,4,4,4
10,50,237,7,4,4,2.8,4,4,4,4
10,50,238,8,3,3,2.8,3,3,3,3
10,50,239,9,4,4,3.0,4,4,4,4
10,55,240,1,4,4,3.2,4,4,4,4
10,55,241,10,4,4,3.4,4,4,4,4
10,55,242,11,4,4,3.2,4,4,4,4
10,55,243,12,4,4,3.6,4,4,3,3
10,55,244,13,4,4,3.8,4,4,4,4
10,55,245,14,4,4,3.6,4,4,4,4
10,55,246,15,4,4,3.2,4,4,4,4
10,55,247,16,4,4,3.2,4,4,4,4
10,55,248,17,4,4,3.6,4,4,4,4
10,55,249,18,4,4,3.0,4,4,4,4
10,55,250,19,4,4,3.0,4,4,3,3
10,55,251,2,4,3,3.0,4,4,4,4
10,55,252,20,4,4,3.6,4,4,4,4
10,55,253,21,4,4,3.6,4,4,4,4
10,55,254,22,4,4,3.4,4,4,4,4
10,55,255,23,4,3,3.4,4,4,3,3
10,55,256,24,4,4,3.2,4,4,3,3
10,55,257,25,4,4,3.2,4,4,4,4
10,55,258,26,4,4,3.4,4,4,4,4
10,55,259,27,4,4,3.4,4,4,4,4
10,55,260,28,3,3,2.8,3,3,3,3
10,55,261,29,4,4,3.4,4,4,4,4
10,55,262,3,4,4,3.0,4,4,4,4
10,55,263,30,4,4,3.4,4,4,4,4
10,55,264,4,4,4,4.0,4,4,4,4
10,55,265,5,5,5,4.0,5,5,5,5
10,55,266,6,4,4,3.0,4,4,4,4
10,55,267,7,3,3,3.0,3,3,3,3
10,55,268,8,4,4,3.6,4,4,4,4
10,55,269,9,4,4,3.4,4,4,3,4
10,60,270,1,4,4,4.0,4,4,4,4
10,60,271,10,4,4,3.0,4,4,4,4
10,60,272,11,5,5,4.4,5,5,5,5
10,60,273,12,4,4,4.0,4,4,4,4
10,60,274,13,4,4,3.6,4,4,4,4
