Graph_ID,Matched_Count,Mismatched_Count,Classification
graph_779,5040,0,1
graph_778,5040,0,1
graph_815,5040,0,1
graph_485,5040,0,1
graph_814,5040,0,1
graph_484,5040,0,1
graph_671,5040,0,1
graph_53,5040,0,1
graph_417,5040,0,1
graph_887,3360,1680,2
graph_52,5040,0,1
graph_416,5040,0,1
graph_886,5040,0,1
graph_670,5040,0,1
graph_143,5040,0,1
graph_325,5040,0,1
graph_324,5040,0,1
graph_142,5040,0,1
graph_88,5040,0,1
graph_89,5040,0,1
graph_264,5040,0,1
graph_265,5040,0,1
graph_556,5040,0,1
graph_730,5040,0,1
graph_731,5040,0,1
graph_557,5040,0,1
graph_198,5040,0,1
graph_199,5040,0,1
graph_954,5040,0,1
graph_955,5040,0,1
graph_638,5040,0,1
graph_639,5040,0,1
graph_1007,5040,0,1
graph_1006,5040,0,1
graph_213,5040,0,1
graph_212,3360,1680,2
graph_747,5040,0,1
graph_521,5040,0,1
graph_520,5040,0,1
graph_746,5040,0,1
graph_389,5040,0,1
graph_388,5040,0,1
graph_923,5040,0,1
graph_922,5040,0,1
graph_429,5040,0,1
graph_428,5040,0,1
graph_281,5040,0,1
graph_280,5040,0,1
graph_568,5040,0,1
graph_569,5040,0,1
graph_862,2520,2520,2
graph_694,5040,0,1
graph_695,5040,0,1
graph_863,5040,0,1
graph_1039,5040,0,1
graph_1038,5040,0,1
graph_24,5040,0,1
graph_460,5040,0,1
graph_606,5040,0,1
graph_607,5040,0,1
graph_25,5040,0,1
graph_461,5040,0,1
graph_352,5040,0,1
graph_134,5040,0,1
graph_135,3780,1260,2
graph_353,5040,0,1
graph_454,5040,0,1
graph_10,5040,0,1
graph_632,5040,0,1
graph_633,5040,0,1
graph_455,5040,0,1
graph_11,5040,0,1
graph_366,5040,0,1
graph_100,5040,0,1
graph_101,5040,0,1
graph_367,5040,0,1
graph_192,5040,0,1
graph_193,5040,0,1
graph_82,5040,0,1
graph_856,5040,0,1
graph_7,5040,0,1
graph_6,5040,0,1
graph_83,5040,0,1
graph_857,5040,0,1
graph_149,5040,0,1
graph_148,5040,0,1
graph_917,5040,0,1
graph_587,5040,0,1
graph_916,5040,0,1
graph_586,5040,0,1
graph_59,5040,0,1
graph_58,5040,0,1
graph_227,5040,0,1
graph_226,5040,0,1
graph_773,5040,0,1
graph_515,5040,0,1
graph_985,5040,0,1
graph_514,5040,0,1
graph_984,5040,0,1
graph_772,5040,0,1
graph_358,5040,0,1
graph_359,5040,0,1
graph_960,5040,0,1
graph_796,5040,0,1
graph_797,5040,0,1
graph_961,2160,2880,2
graph_1033,5040,0,1
graph_1032,5040,0,1
graph_250,5040,0,1
graph_251,5040,0,1
graph_868,5040,0,1
graph_869,5040,0,1
graph_562,5040,0,1
graph_704,5040,0,1
graph_705,5040,0,1
graph_563,5040,0,1
graph_645,5040,0,1
graph_423,5040,0,1
graph_67,5040,0,1
graph_422,5040,0,1
graph_66,5040,0,1
graph_644,5040,0,1
graph_929,5040,0,1
graph_928,5040,0,1
graph_177,5040,0,1
graph_311,5040,0,1
graph_310,4032,1008,2
graph_176,5040,0,1
graph_383,5040,0,1
graph_382,5040,0,1
graph_821,3780,1260,2
graph_820,5040,0,1
graph_219,5040,0,1
graph_218,5040,0,1
graph_943,5040,0,1
graph_942,5040,0,1
graph_1010,5040,0,1
graph_1011,5040,0,1
graph_449,5040,0,1
graph_448,5040,0,1
graph_273,5040,0,1
graph_272,5040,0,1
graph_541,5040,0,1
graph_727,5040,0,1
graph_726,5040,0,1
graph_540,5040,0,1
graph_666,2520,2520,2
graph_890,5040,0,1
graph_44,5040,0,1
graph_400,5040,0,1
graph_891,5040,0,1
graph_45,5040,0,1
graph_401,5040,0,1
graph_667,5040,0,1
graph_154,5040,0,1
graph_332,5040,0,1
graph_333,5040,0,1
graph_155,5040,0,1
graph_508,5040,0,1
graph_998,5040,0,1
graph_509,5040,0,1
graph_999,5040,0,1
graph_492,5040,0,1
graph_802,5040,0,1
graph_493,5040,0,1
graph_803,5040,0,1
graph_33,5040,0,1
graph_477,3360,1680,2
graph_611,5040,0,1
graph_610,5040,0,1
graph_32,5040,0,1
graph_476,5040,0,1
graph_345,5040,0,1
graph_123,5040,0,1
graph_122,5040,0,1
graph_344,5040,0,1
graph_719,5040,0,1
graph_718,5040,0,1
graph_875,5040,0,1
graph_683,5040,0,1
graph_682,5040,0,1
graph_874,5040,0,1
graph_934,5040,0,1
graph_935,3360,1680,2
graph_296,5040,0,1
graph_297,5040,0,1
graph_658,5040,0,1
graph_659,5040,0,1
graph_204,5040,0,1
graph_205,5040,0,1
graph_750,5040,0,1
graph_536,5040,0,1
graph_537,5040,0,1
graph_751,5040,0,1
graph_808,5040,0,1
graph_498,5040,0,1
graph_809,5040,0,1
graph_499,5040,0,1
graph_230,5040,0,1
graph_231,5040,0,1
graph_764,4032,1008,2
graph_992,5040,0,1
graph_502,5040,0,1
graph_993,5040,0,1
graph_503,5040,0,1
graph_765,5040,0,1
graph_590,5040,0,1
graph_900,5040,0,1
graph_591,5040,0,1
graph_901,5040,0,1
graph_338,5040,0,1
graph_339,5040,0,1
graph_185,5040,0,1
graph_184,5040,0,1
graph_279,5040,0,1
graph_278,5040,0,1
graph_841,5040,0,1
graph_95,5040,0,1
graph_840,5040,0,1
graph_94,5040,0,1
graph_443,5040,0,1
graph_625,5040,0,1
graph_624,5040,0,1
graph_442,5040,0,1
graph_371,5040,0,1
graph_117,5040,0,1
graph_116,5040,0,1
graph_370,5040,0,1
graph_949,5040,0,1
