Graph_ID,Matched_Count,Mismatched_Count,Classification
graph_0,40320,0,1
graph_1,40320,0,1
graph_10,40320,0,1
graph_100,40320,0,1
graph_1000,32256,8064,2
graph_10000,40320,0,1
graph_10001,40320,0,1
graph_10002,40320,0,1
graph_10003,40320,0,1
graph_10004,40320,0,1
graph_10005,40320,0,1
graph_10006,40320,0,1
graph_10007,40320,0,1
graph_10008,40320,0,1
graph_10009,40320,0,1
graph_1001,40320,0,1
graph_10010,30240,10080,2
graph_10011,40320,0,1
graph_10012,40320,0,1
graph_10013,40320,0,1
graph_10014,40320,0,1
graph_10015,40320,0,1
graph_10016,40320,0,1
graph_10017,40320,0,1
graph_10018,40320,0,1
graph_10019,40320,0,1
graph_1002,40320,0,1
graph_10020,0,40320,3
graph_10021,40320,0,1
graph_10022,40320,0,1
graph_10023,40320,0,1
graph_10024,40320,0,1
graph_10025,40320,0,1
graph_10026,40320,0,1
graph_10027,40320,0,1
graph_10028,40320,0,1
graph_10029,40320,0,1
graph_1003,40320,0,1
graph_10030,40320,0,1
graph_10031,40320,0,1
graph_10032,40320,0,1
graph_10033,40320,0,1
graph_10034,40320,0,1
graph_10035,40320,0,1
graph_10036,30240,10080,2
graph_10037,40320,0,1
graph_10038,40320,0,1
graph_10039,40320,0,1
graph_1004,40320,0,1
graph_10040,40320,0,1
graph_10041,40320,0,1
graph_10042,40320,0,1
graph_10043,40320,0,1
graph_10044,40320,0,1
graph_10045,40320,0,1
graph_10046,40320,0,1
graph_10047,40320,0,1
graph_10048,40320,0,1
graph_10049,40320,0,1
graph_1005,40320,0,1
graph_10050,40320,0,1
graph_10051,40320,0,1
graph_10052,40320,0,1
graph_10053,40320,0,1
graph_10054,40320,0,1
graph_10055,40320,0,1
graph_10056,40320,0,1
graph_10057,40320,0,1
graph_10058,40320,0,1
graph_10059,40320,0,1
graph_1006,40320,0,1
graph_10060,40320,0,1
graph_10061,40320,0,1
graph_10062,40320,0,1
graph_10063,40320,0,1
graph_10064,40320,0,1
graph_10065,40320,0,1
graph_10066,40320,0,1
graph_10067,40320,0,1
graph_10068,40320,0,1
graph_10069,40320,0,1
graph_1007,32256,8064,2
graph_10070,40320,0,1
graph_10071,40320,0,1
graph_10072,40320,0,1
graph_10073,40320,0,1
graph_10074,40320,0,1
graph_10075,40320,0,1
graph_10076,40320,0,1
graph_10077,40320,0,1
graph_10078,40320,0,1
graph_10079,40320,0,1
graph_1008,40320,0,1
graph_10080,40320,0,1
graph_10081,40320,0,1
graph_10082,40320,0,1
graph_10083,40320,0,1
graph_10084,40320,0,1
graph_10085,40320,0,1
graph_10086,40320,0,1
graph_10087,40320,0,1
graph_10088,40320,0,1
graph_10089,40320,0,1
graph_1009,40320,0,1
graph_10090,40320,0,1
graph_10091,40320,0,1
graph_10092,40320,0,1
graph_10093,40320,0,1
graph_10094,40320,0,1
graph_10095,40320,0,1
graph_10096,40320,0,1
graph_10097,40320,0,1
graph_10098,40320,0,1
graph_10099,40320,0,1
graph_101,40320,0,1
graph_1010,40320,0,1
graph_10100,40320,0,1
graph_10101,40320,0,1
graph_10102,40320,0,1
graph_10103,40320,0,1
graph_10104,40320,0,1
graph_10105,40320,0,1
graph_10106,40320,0,1
graph_10107,40320,0,1
graph_10108,40320,0,1
graph_10109,40320,0,1
graph_1011,40320,0,1
graph_10110,40320,0,1
graph_10111,40320,0,1
graph_10112,0,40320,3
graph_10113,40320,0,1
graph_10114,40320,0,1
graph_10115,40320,0,1
graph_10116,40320,0,1
graph_10117,40320,0,1
graph_10118,40320,0,1
