Running job on gpu-5-11
Requested resources:
  - CPUs: 64
  - GPUs: 
  - Memory: 64000
Node counts to process: [30, 35, 40]
Removal percentages to process: [15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85]%
Base directory: generated_graphs
Output directory: greedy_mis_results_grouped
Total tasks to process: 2250
Using 128 processes for parallel computation.
Processed generated_graphs/nodes_30/removal_15percent/graph_32.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_30percent/graph_10.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_35percent/graph_49.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_50percent/graph_13.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_60percent/graph_6.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_30/removal_75percent/graph_9.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_35/removal_15percent/graph_25.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_25percent/graph_42.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_35/removal_40percent/graph_4.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_35/removal_55percent/graph_21.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_70percent/graph_50.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_35/removal_85percent/graph_46.edgelist: Greedy MIS size = 15
Processed generated_graphs/nodes_40/removal_35percent/graph_3.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_40percent/graph_8.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_40/removal_65percent/graph_41.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_40/removal_75percent/graph_27.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_30/removal_15percent/graph_20.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_30/removal_30percent/graph_16.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_30/removal_45percent/graph_42.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_60percent/graph_39.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_30/removal_75percent/graph_37.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_30/removal_85percent/graph_35.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_35/removal_20percent/graph_42.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_35percent/graph_11.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_35/removal_45percent/graph_27.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_35/removal_60percent/graph_16.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_35/removal_70percent/graph_45.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_35/removal_80percent/graph_30.edgelist: Greedy MIS size = 12
Processed generated_graphs/nodes_40/removal_15percent/graph_38.edgelist: Greedy MIS size = 3
Processed generated_graphs/nodes_40/removal_20percent/graph_46.edgelist: Greedy MIS size = 4
