Running job on gpu-5-11
Requested resources:
  - CPUs: 64
  - GPUs: 
  - Memory: 64000
Node counts to process: [100, 105, 110, 115, 120, 125, 130, 135, 140, 145, 150]
Removal percentages to process: [15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70, 75, 80, 85]%
Base directory: generated_graphs
Output directory: greedy_mis_results_grouped
Total tasks to process: 8250
Using 128 processes for parallel computation.
Processed generated_graphs/nodes_100/removal_25percent/graph_17.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_100/removal_30percent/graph_47.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_100/removal_45percent/graph_14.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_100/removal_50percent/graph_42.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_100/removal_65percent/graph_44.edgelist: Greedy MIS size = 10
Processed generated_graphs/nodes_100/removal_75percent/graph_22.edgelist: Greedy MIS size = 16
Processed generated_graphs/nodes_100/removal_85percent/graph_1.edgelist: Greedy MIS size = 23
Processed generated_graphs/nodes_105/removal_20percent/graph_1.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_105/removal_30percent/graph_28.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_105/removal_45percent/graph_47.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_105/removal_55percent/graph_8.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_105/removal_75percent/graph_15.edgelist: Greedy MIS size = 16
Processed generated_graphs/nodes_105/removal_80percent/graph_47.edgelist: Greedy MIS size = 18
Processed generated_graphs/nodes_110/removal_20percent/graph_28.edgelist: Greedy MIS size = 5
Processed generated_graphs/nodes_110/removal_40percent/graph_24.edgelist: Greedy MIS size = 7
Processed generated_graphs/nodes_110/removal_55percent/graph_48.edgelist: Greedy MIS size = 9
Processed generated_graphs/nodes_110/removal_70percent/graph_20.edgelist: Greedy MIS size = 15
Processed generated_graphs/nodes_110/removal_85percent/graph_1.edgelist: Greedy MIS size = 23
Processed generated_graphs/nodes_115/removal_15percent/graph_23.edgelist: Greedy MIS size = 4
Processed generated_graphs/nodes_115/removal_35percent/graph_25.edgelist: Greedy MIS size = 6
Processed generated_graphs/nodes_115/removal_50percent/graph_38.edgelist: Greedy MIS size = 8
Processed generated_graphs/nodes_115/removal_70percent/graph_40.edgelist: Greedy MIS size = 13
Processed generated_graphs/nodes_115/removal_80percent/graph_45.edgelist: Greedy MIS size = 18
